id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
75075,0.0,0.75,,,0.3333333333333333,0.49541421234607697,0.5200114846229553,,,0.38436924293637276,0.0,1.0,,,0.4166666666666667,0.3611111111111111,0.4665983133018017,0.47222222222222227,Yodiwo,,operational,75075,0.06,37.0
84064,0.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6016538739204407,0.45477221906185145,0.2986094765365123,0.2898391932249069,0.45544502635796863,0.5,1.0,0.3333333333333333,0.16666666666666666,0.5,0.4666666666666666,0.42006395782033606,0.5,Gridly,13200000.0,operational,84064,3.37,42.0
85386,0.0,0.0,,,0.0,0.4534753262996673,0.4875421226024627,,,0.4797927141189575,0.0,1.0,,,0.6666666666666666,0.0,0.47360338767369586,0.5555555555555555,Ombori (Helishopter),36303630.0,operational,85386,7.95,16.0
121650,0.0,0.5,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.4774879366159439,0.5457824021577835,0.34767017761866253,0.38063456614812213,0.5735296780864397,0.25,1.0,0.5,0.16666666666666666,0.6666666666666666,0.24999999999999994,0.46502095212539035,0.5166666666666667,Layerise,16500000.0,operational,121650,4.51,7.0
128958,0.0,1.0,0.0,0.0,0.3333333333333333,0.3136667013168335,0.6216880679130554,0.591921995083491,0.5220043659210205,0.516332725683848,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.5131227711836497,0.7999999999999999,Dogo,18039999.0,operational,128958,4.2,31.0
130762,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.5251991748809814,0.6665683388710022,0.7474327087402344,0.5721102555592855,0.7381156881650289,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.39999999999999997,0.6498852332433065,0.8666666666666666,Rows,80000000.0,operational,130762,35.4,46.0
184763,0.0,1.0,0.0,0.0,0.0,0.35150010883808136,0.4960481822490692,0.08509047701954837,0.19998577112952867,0.18130206068356827,0.0,1.0,0.0,0.0,0.0,0.2,0.2627853199839592,0.2,Visualyst,2000000.0,operational,184763,0.39,1.0
199407,0.0,1.0,0.0,,0.0,0.3970097601413727,0.5272544175386429,0.2468427183727423,,0.4798474113146464,0.0,1.0,0.0,,0.5,0.25,0.41273857684185106,0.375,Lifetime Group,,operational,199407,8.21,6.0
201131,0.0,1.0,,,0.0,0.53018718957901,0.4905685186386108,,,0.36136195560296375,0.0,1.0,,,0.3333333333333333,0.3333333333333333,0.46070588794019485,0.4444444444444444,admetrics,,operational,201131,0.25,26.0
212294,0.0,0.0,,,0.0,0.41869932413101196,0.1859478577971458,,,0.20835844675699866,0.0,0.0,,,0.0,0.0,0.2710018762283855,0.0,Kaasa solution,,operational,212294,0.21,3.0
