id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
34968,0.0,0.0,,,0.3333333333333333,0.476785272359848,0.23206432908773417,,,0.2559981346130371,0.0,0.0,,,0.16666666666666666,0.1111111111111111,0.32161591202020645,0.05555555555555555,Capacitor,500000.0,operational,34968,0.1,24.0
72299,0.0,0.0,,,0.6666666666666666,0.4053994460652272,0.5652252736811837,,,0.46410270780324936,0.0,0.6666666666666666,,,0.5,0.2222222222222222,0.4782424758498867,0.38888888888888884,LessonUp,1925000.0,operational,72299,0.5,66.0
72625,0.0,0.0,,0.3333333333333333,0.0,0.7655014097690582,0.830023467540741,,0.3581412186225255,0.3711860353748004,0.0,1.0,,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.5812130328267813,0.375,MX3D,38500000.0,operational,72625,12.21,49.0
72665,0.0,1.0,0.0,0.0,,0.5713632553815842,0.6978749732176462,0.5195372104644775,0.40469012161095935,,0.0,1.0,0.6666666666666666,0.16666666666666666,,0.25,0.5483663901686668,0.4583333333333333,RideLink,,operational,72665,1.45,
72920,0.0,1.0,0.1111111111111111,0.0,1.0,0.5219116906325022,0.5972461402416229,0.17068304224974573,0.21707795725928408,0.3595897845096058,0.0,1.0,0.0,0.0,0.4444444444444444,0.4222222222222222,0.37330172297855213,0.28888888888888886,Mr. Chadd,5060000.0,operational,72920,2.23,51.0
73780,1.0,1.0,,,,0.6118475794792175,0.826920285820961,,,,0.0,1.0,,,,1.0,0.7193839326500893,0.5,Valendo GmbH,3300000.0,acquired,73780,0.66,
74046,0.0,1.0,1.0,1.0,1.0,0.5104010105133057,0.6671716570854187,0.44543737173080444,0.5103371938069662,0.5442636013031006,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.8,0.5355221668879191,0.5999999999999999,Budbee,1000000.0,acquired,74046,165.81,318.0
74375,0.0,0.0,,,,0.05064628273248667,0.010098917409777567,,,,0.0,0.0,,,,0.0,0.030372600071132117,0.0,Industrial Internet Of Anything,,operational,74375,0.87,1.0
74535,0.6,1.0,1.0,1.0,1.0,0.8048088550567627,0.8450927019119263,0.7566931704680125,0.7029311041037242,0.7408297340075175,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9199999999999999,0.7700711131095888,0.9733333333333334,McMakler,440000000.0,operational,74535,214.35,383.0
74640,0.0,0.0,,,0.0,0.2819704659283161,0.1741307207383215,,,0.34343116482098895,0.0,0.4,,,0.2222222222222222,0.0,0.26651078382920884,0.2074074074074074,Djenee,2500000.0,low-activity,74640,0.5,3.0
74650,0.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5176229178905487,0.6871980726718903,0.7097615202267965,0.6879189014434814,0.6395836770534515,0.5,1.0,0.6666666666666666,1.0,0.8333333333333334,0.4333333333333333,0.6484170178572337,0.8,Resolution Games,125000000.0,operational,74650,38.5,126.0
74767,0.6666666666666666,1.0,1.0,0.0,1.0,0.830543061097463,0.9724583427111307,0.8219905495643616,0.7323066525989108,0.8232040935092502,0.3333333333333333,1.0,1.0,1.0,1.0,0.7333333333333333,0.8361005398962232,0.8666666666666666,Movinga,82500000.0,acquired,74767,96.65,59.0
74772,0.0,1.0,,,0.6666666666666666,0.4851743876934051,0.706993818283081,,,0.5203787783781687,0.0,1.0,,,0.3333333333333333,0.5555555555555555,0.5708489947848849,0.4444444444444444,Soley,137500.0,operational,74772,0.03,52.0
75075,0.0,1.0,,,0.3333333333333333,0.4101951122283935,0.7875306010246277,,,0.35160205513238907,0.0,1.0,,,0.3333333333333333,0.4444444444444444,0.5164425894618034,0.4444444444444444,Yodiwo,,operational,75075,0.06,37.0
75133,0.0,0.5,0.0,0.0,0.0,0.5438316464424133,0.6074072420597076,0.3078681727250417,0.29148312409718824,0.2927037471284469,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.4086587864905596,0.3333333333333333,Sponsta,385000.0,operational,75133,0.08,1.0
84064,0.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5175334215164185,0.4396557956933975,0.3085840692122777,0.3138769020636876,0.4351600756247838,0.0,1.0,0.0,0.16666666666666666,0.5,0.3666666666666666,0.40296205282211306,0.33333333333333337,Gridly,13200000.0,operational,84064,3.37,42.0
85386,0.0,0.0,,0.3333333333333333,0.3333333333333333,0.29122036835178733,0.19960982818156475,,0.3389082650343577,0.5579265753428141,0.5,0.5,,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.346916259227631,0.5,Ombori (Helishopter),36303630.0,operational,85386,7.95,16.0
85658,0.0,0.0,,,,0.1242703031748533,0.00262589921476315,,,,0.0,0.0,,,,0.0,0.06344810119480822,0.0,Checktom,450000.0,operational,85658,0.09,2.0
90815,0.0,0.0,,,0.3333333333333333,0.21525921851086116,0.1211886576687296,,,0.3250103369355201,0.0,0.16666666666666666,,,0.3333333333333333,0.1111111111111111,0.22048607103837028,0.16666666666666666,Hungry Group,21450000.0,operational,90815,4.29,13.0
95286,0.0,1.0,0.0,0.0,0.0,0.6318706274032593,0.8880612254142761,0.31978619678152925,0.3195615510145822,0.37296158903174925,0.0,1.0,0.2222222222222222,0.0,0.3333333333333333,0.2,0.5064482379290792,0.3111111111111111,Tespack,2750000.0,operational,95286,0.9,16.0
96982,0.0,1.0,0.0,0.0,0.0,0.5274617572625478,0.6146009763081869,0.21070992532703606,0.2351427856418821,0.19622654923134375,0.0,1.0,0.0,0.1111111111111111,0.0,0.2,0.35682839875419936,0.22222222222222224,Vaultoro,5000000.0,operational,96982,1.06,5.0
121650,0.0,0.0,,,,0.007579181343317,0.0025000742170959,,,,0.0,0.0,,,,0.0,0.0050396277802064494,0.0,Layerise,16500000.0,operational,121650,4.51,7.0
128958,0.0,1.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.537483940521876,0.807565450668335,0.39999934203094906,0.4379441870583428,0.45341270830896163,0.3333333333333333,1.0,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.4,0.5272811257176929,0.5333333333333332,Dogo,18039999.0,operational,128958,4.2,31.0
130762,0.0,1.0,1.0,0.6666666666666666,1.0,0.5804438591003418,0.7895569801330566,0.6758337020874023,0.6749858657519022,0.567444900671641,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.7333333333333333,0.6576530615488687,0.6666666666666666,Rows,80000000.0,operational,130762,35.4,46.0
145426,0.0,1.0,0.0,0.0,,0.4754312634468078,0.4121284782886505,0.4156208386023839,0.4946615199247996,,0.0,1.0,0.6666666666666666,0.6666666666666666,,0.25,0.4494605250656605,0.5833333333333333,Simply Done,82500.0,operational,145426,0.02,
145464,0.0,0.0,,,0.0,0.25473752170801156,0.284984365478158,,,0.5404352943102518,0.0,0.4,,,0.8333333333333334,0.0,0.36005239383214044,0.41111111111111115,Metris,,operational,145464,0.14,1.0
158013,0.0,0.0,,,,0.0425780615769326,0.00836139358580105,,,,0.0,0.0,,,,0.0,0.025469727581366824,0.0,atmio,28050000.0,operational,158013,7.04,32.0
165044,0.0,0.5,0.0,,,0.5372686485449473,0.8258635004361471,0.2674738143881161,,,0.0,0.8333333333333334,0.0,,,0.16666666666666666,0.5435353211230701,0.2777777777777778,ensō,100000.0,operational,165044,0.1,
178290,0.0,0.0,,,0.0,0.2543135479209013,0.2506776685477234,,,0.5273862431446711,0.0,0.5,,,0.6666666666666666,0.0,0.3441258198710986,0.38888888888888884,Bonativo,17600000.0,closed,178290,3.52,1.0
184763,0.0,1.0,0.0,0.0,0.0,0.6140835583209991,0.7576474547386169,0.12703971378505224,0.1535999407060444,0.19929709285497663,0.0,0.5,0.0,0.16666666666666666,0.0,0.2,0.3703335520811379,0.13333333333333333,Visualyst,2000000.0,operational,184763,0.39,1.0
199407,0.0,1.0,0.4444444444444444,,0.1111111111111111,0.45127267638842267,0.6013078093528748,0.34607128633393175,,0.47764920857217574,0.0,1.0,0.0,,0.5555555555555556,0.3888888888888889,0.46907524516185123,0.3888888888888889,Lifetime Group,,operational,199407,8.21,6.0
201131,0.0,0.5,,,0.0,0.2616415023803711,0.1485813098843209,,,0.3661406685908635,0.0,0.0,,,0.3333333333333333,0.16666666666666666,0.2587878269518518,0.1111111111111111,admetrics,,operational,201131,0.25,26.0
203529,0.0,0.5,0.0,,0.0,0.4551288783550262,0.4844631850719452,0.3332665065924326,,0.30641286075115204,0.0,0.5,0.3333333333333333,,0.16666666666666666,0.125,0.394817857692639,0.24999999999999997,Expesicor,,closed,203529,2.5,2.0
212294,0.0,0.0,,,0.0,0.1074462197721004,0.06949696410447355,,,0.21438225607077277,0.0,0.0,,,0.0,0.0,0.13044181331578222,0.0,Kaasa solution,,operational,212294,0.21,3.0
218932,0.0,0.0,,,0.6666666666666666,0.10507667551024087,0.08658148604445155,,,0.3518136392037074,0.0,0.2222222222222222,,,0.3333333333333333,0.2222222222222222,0.18115726691946663,0.1851851851851852,Xara,16500000.0,operational,218932,3.3,38.0
220561,0.25,0.25,,,0.0,0.17967848666012284,0.21683907322585577,,,0.581799844900767,0.25,0.25,,,0.6666666666666666,0.16666666666666666,0.32610580159558183,0.38888888888888884,Flyiin,13200000.0,acquired,220561,2.64,4.0
221825,0.0,0.5,,,,0.23077206686139098,0.10004030662821599,,,,0.0,0.5,,,,0.25,0.16540618674480348,0.25,ADDACT,,operational,221825,0.06,
222406,0.0,1.0,0.0,0.0,0.25,0.4853350445628166,0.6306067034602165,0.2852829355332587,0.33435721778207356,0.42280468717217445,0.0,0.75,0.1111111111111111,0.4444444444444444,0.16666666666666666,0.25,0.431677317702108,0.29444444444444445,Wellnow,5500000.0,operational,222406,1.1,21.0
224783,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.7112624446551005,0.8574251333872477,0.6002067228158315,0.4969549841350979,0.5813831256495582,0.3333333333333333,1.0,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.4222222222222222,0.6494464821285671,0.6666666666666666,Spectrm,32500000.0,acquired,224783,10.97,17.0
233760,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6938567956288656,0.8583037853240967,0.4263463045159976,0.4300522704919179,0.5572416285673777,0.6666666666666666,1.0,0.5,0.3333333333333333,0.5555555555555556,0.2,0.593160156905651,0.611111111111111,SPOSEA,2200000.0,operational,233760,0.61,29.0
233866,0.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6753472089767456,0.9300852020581564,0.51844855149587,0.562070906162262,0.5913949244552188,0.0,1.0,0.3333333333333333,0.5555555555555556,0.7777777777777778,0.4666666666666666,0.6554693586296506,0.5333333333333333,Building Radar,36000000.0,operational,233866,12.71,118.0
235809,0.0,1.0,0.5,0.5,1.0,0.6187536716461182,0.7213707566261292,0.41017421583334607,0.3667108317216237,0.4711241026719411,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.6,0.5176267156998317,0.5333333333333334,Wunderflats,44850000.0,operational,235809,33.75,121.0
241295,0.0,1.0,0.0,,0.4444444444444444,0.7161742250124613,0.780715266863505,0.5498301088809967,,0.5691439509391785,1.0,1.0,0.4444444444444444,,0.7777777777777778,0.3611111111111111,0.6539658879240353,0.8055555555555556,Acomodeo,,acquired,241295,3.52,9.0
242236,0.0,1.0,0.0,0.0,0.3333333333333333,0.5113041773438454,0.776457890868187,0.3104976005852222,0.30008316660920775,0.41779037937521935,0.0,1.0,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.26666666666666666,0.4632266429563363,0.31666666666666665,Creatorz,3355000.0,operational,242236,2.78,6.0
246395,0.0,1.0,0.3333333333333333,0.0,0.0,0.5155383795499802,0.7712527811527252,0.2525125741958618,0.24477503448724747,0.40072427690029144,0.0,1.0,0.0,0.16666666666666666,0.3333333333333333,0.26666666666666666,0.43696060925722124,0.3,Noho,8800000.0,operational,246395,2.99,2.0
248721,0.0,0.25,,,0.0,0.1776615469716489,0.08719058247515928,,,0.33864793181419367,0.0,0.25,,,0.0,0.08333333333333333,0.2011666870870006,0.08333333333333333,Clubio,165000.0,operational,248721,0.03,3.0
248734,0.0,0.0,,,0.0,0.7112496097882589,0.7390708128611246,,,0.4579531591799524,1.0,1.0,,,0.5555555555555556,0.0,0.636091193943112,0.8518518518518517,123makler,3300000.0,operational,248734,0.66,1.0
249275,0.0,0.0,,,,0.067002036049962,0.0370429730508476,,,,0.0,0.0,,,,0.0,0.052022504550404795,0.0,MDK Technologies,5500000.0,operational,249275,1.1,
249288,0.0,0.6666666666666666,,,0.3333333333333333,0.5045129756132761,0.740941067536672,,,0.4973997175693512,0.0,1.0,,,0.6666666666666666,0.3333333333333333,0.5809512535730997,0.5555555555555555,ZALVUS,,acquired,249288,0.07,61.0
249671,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5819826324780782,0.8436876138051351,0.33459896345933277,0.39903441071510315,0.4842355383767022,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.42222222222222217,0.5287078317668703,0.42222222222222217,SwipeGuide,28600000.0,acquired,249671,7.15,34.0
394653,0.0,0.5,0.0,,0.0,0.48896685242652893,0.6723255813121796,0.43886824945608777,,0.40770558764537174,0.0,1.0,0.6666666666666666,,0.5,0.125,0.501966567710042,0.5416666666666666,Collect + Go,550000.0,operational,394653,0.22,10.0
394788,0.0,0.0,,,0.0,0.21707587316632265,0.2922650412656366,,,0.37320821483929945,0.0,0.5,,,0.3333333333333333,0.0,0.2941830430904196,0.27777777777777773,Sigrow,,operational,394788,0.06,14.0
394791,0.0,0.0,,,,0.02838617237284775,0.0058621970238163755,,,,0.0,0.0,,,,0.0,0.017124184698332063,0.0,Algreen,,operational,394791,0.07,8.0
